domain,ip,is_dga,confidence
www.winpcap.org,71.198.243.158,0,0.99
www.winpcap.org,68.87.76.178,0,0.99
www.msnbc.com,71.198.243.158,0,0.99
www.msnbc.com,68.87.76.178,0,0.99
www.msnbc.msn.com,71.198.243.158,0,0.99
www.msnbc.msn.com,68.87.76.178,0,0.99
ads1.msn.com,71.198.243.158,0,0.82
ads1.msn.com,68.87.76.178,0,0.82
c.msn.com,71.198.243.158,0,0.99
c.msn.com,68.87.76.178,0,0.99
c.live.com,71.198.243.158,0,0.99
c.live.com,68.87.76.178,0,0.99
msnbcom.112.2o7.net,71.198.243.158,0,0.99
msnbcom.112.2o7.net,68.87.76.178,0,0.99
sc.msn.com,71.198.243.158,0,0.99
sc.msn.com,68.87.76.178,0,0.99
msnbcmedia.msn.com,71.198.243.158,1,0.79
msnbcmedia.msn.com,68.87.76.178,1,0.79
msnbcmedia3.msn.com,71.198.243.158,1,0.95
msnbcmedia3.msn.com,68.87.76.178,1,0.95
msnbcmedia2.msn.com,71.198.243.158,1,0.95
msnbcmedia1.msn.com,71.198.243.158,1,0.95
msnbcmedia2.msn.com,68.87.76.178,1,0.95
msnbcmedia1.msn.com,68.87.76.178,1,0.95
msnbcmedia4.msn.com,71.198.243.158,1,0.95
msnbcmedia4.msn.com,68.87.76.178,1,0.95
content.dl-rms.com,71.198.243.158,0,1.0
rad.msn.com,71.198.243.158,0,0.99
content.dl-rms.com,68.87.76.178,0,1.0
rad.msn.com,68.87.76.178,0,0.99
view.atdmt.com,71.198.243.158,0,1.0
view.atdmt.com,68.87.76.178,0,1.0
a.dlqm.net,71.198.243.158,0,0.99
a.dlqm.net,68.87.76.178,0,0.99
context3.kanoodle.com,71.198.243.158,0,0.83
context3.kanoodle.com,68.87.76.178,0,0.83
a.rad.msn.com,71.198.243.158,0,0.99
a.rad.msn.com,68.87.76.178,0,0.99
spe.atdmt.com,71.198.243.158,0,0.99
spe.atdmt.com,68.87.76.178,0,0.99
www.espn.com,71.198.243.158,0,0.99
www.espn.com,68.87.76.178,0,0.99
adsatt.espn.go.com,71.198.243.158,0,1.0
adsatt.espn.go.com,68.87.76.178,0,1.0
espn-ak.starwave.com,71.198.243.158,0,1.0
espn-ak.starwave.com,68.87.76.178,0,1.0
log.go.com,71.198.243.158,0,0.99
log.go.com,68.87.76.178,0,0.99
static.espn.go.com,71.198.243.158,0,1.0
static.espn.go.com,68.87.76.178,0,1.0
rsi.espn.go.com,71.198.243.158,0,0.99
rsi.espn.go.com,68.87.76.178,0,0.99
ehg-dig.hitbox.com,71.198.243.158,0,1.0
ehg-dig.hitbox.com,68.87.76.178,0,1.0
www.packet-level.com,71.198.243.158,0,0.99
www.packet-level.com,68.87.76.178,0,0.99
www.packet-level.net,71.198.243.158,0,0.99
www.packet-level.net,68.87.76.178,0,0.99
download.windowsupdate.com,67.170.215.94,0,1.0
download.windowsupdate.com,67.170.215.94,0,1.0
download.windowsupdate.com,68.87.78.130,0,1.0
update.microsoft.com,67.170.215.94,0,1.0
update.microsoft.com,68.87.78.130,0,1.0
