src,dst,proto,length,timestamp,src_port,dst_port,conn_state,duration,DNS
71.198.243.158,68.87.76.178,UDP,75,2007-01-13 20:31:19.924141,1427,53,,,www.winpcap.org
68.87.76.178,71.198.243.158,UDP,91,2007-01-13 20:31:19.935711,53,1427,,,www.winpcap.org
71.198.243.158,68.87.76.178,UDP,73,2007-01-13 20:31:35.437207,1427,53,,,www.msnbc.com
68.87.76.178,71.198.243.158,UDP,106,2007-01-13 20:31:35.448024,53,1427,,,www.msnbc.com
71.198.243.158,68.87.76.178,UDP,77,2007-01-13 20:31:35.592430,1427,53,,,www.msnbc.msn.com
68.87.76.178,71.198.243.158,UDP,123,2007-01-13 20:31:35.604015,53,1427,,,www.msnbc.msn.com
71.198.243.158,68.87.76.178,UDP,72,2007-01-13 20:31:41.048017,1427,53,,,ads1.msn.com
68.87.76.178,71.198.243.158,UDP,166,2007-01-13 20:31:41.059370,53,1427,,,ads1.msn.com
71.198.243.158,68.87.76.178,UDP,69,2007-01-13 20:31:44.321964,1427,53,,,c.msn.com
68.87.76.178,71.198.243.158,UDP,101,2007-01-13 20:31:44.333171,53,1427,,,c.msn.com
71.198.243.158,68.87.76.178,UDP,70,2007-01-13 20:31:44.539231,1427,53,,,c.live.com
68.87.76.178,71.198.243.158,UDP,102,2007-01-13 20:31:44.549441,53,1427,,,c.live.com
71.198.243.158,68.87.76.178,UDP,79,2007-01-13 20:31:44.596186,1427,53,,,msnbcom.112.2o7.net
68.87.76.178,71.198.243.158,UDP,175,2007-01-13 20:31:44.611606,53,1427,,,msnbcom.112.2o7.net
71.198.243.158,68.87.76.178,UDP,70,2007-01-13 20:31:44.929594,1427,53,,,sc.msn.com
68.87.76.178,71.198.243.158,UDP,86,2007-01-13 20:31:44.940751,53,1427,,,sc.msn.com
71.198.243.158,68.87.76.178,UDP,78,2007-01-13 20:31:45.092900,1427,53,,,msnbcmedia.msn.com
68.87.76.178,71.198.243.158,UDP,170,2007-01-13 20:31:45.103623,53,1427,,,msnbcmedia.msn.com
71.198.243.158,68.87.76.178,UDP,79,2007-01-13 20:31:45.130295,1427,53,,,msnbcmedia3.msn.com
68.87.76.178,71.198.243.158,UDP,171,2007-01-13 20:31:45.142147,53,1427,,,msnbcmedia3.msn.com
71.198.243.158,68.87.76.178,UDP,79,2007-01-13 20:31:45.363485,1427,53,,,msnbcmedia2.msn.com
71.198.243.158,68.87.76.178,UDP,79,2007-01-13 20:31:45.375389,1026,53,,,msnbcmedia1.msn.com
68.87.76.178,71.198.243.158,UDP,171,2007-01-13 20:31:45.382129,53,1427,,,msnbcmedia2.msn.com
68.87.76.178,71.198.243.158,UDP,171,2007-01-13 20:31:45.398983,53,1026,,,msnbcmedia1.msn.com
71.198.243.158,68.87.76.178,UDP,79,2007-01-13 20:31:46.101654,1427,53,,,msnbcmedia4.msn.com
68.87.76.178,71.198.243.158,UDP,171,2007-01-13 20:31:46.111653,53,1427,,,msnbcmedia4.msn.com
71.198.243.158,68.87.76.178,UDP,78,2007-01-13 20:31:46.290642,1427,53,,,content.dl-rms.com
71.198.243.158,68.87.76.178,UDP,71,2007-01-13 20:31:46.290997,1026,53,,,rad.msn.com
68.87.76.178,71.198.243.158,UDP,185,2007-01-13 20:31:46.303774,53,1427,,,content.dl-rms.com
68.87.76.178,71.198.243.158,UDP,138,2007-01-13 20:31:46.308446,53,1026,,,rad.msn.com
71.198.243.158,68.87.76.178,UDP,74,2007-01-13 20:31:46.442691,1427,53,,,view.atdmt.com
68.87.76.178,71.198.243.158,UDP,90,2007-01-13 20:31:46.452608,53,1427,,,view.atdmt.com
71.198.243.158,68.87.76.178,UDP,70,2007-01-13 20:31:49.374457,1427,53,,,a.dlqm.net
68.87.76.178,71.198.243.158,UDP,188,2007-01-13 20:31:49.389704,53,1427,,,a.dlqm.net
71.198.243.158,68.87.76.178,UDP,81,2007-01-13 20:31:49.792162,1427,53,,,context3.kanoodle.com
68.87.76.178,71.198.243.158,UDP,97,2007-01-13 20:31:49.805537,53,1427,,,context3.kanoodle.com
71.198.243.158,68.87.76.178,UDP,73,2007-01-13 20:31:50.166613,1427,53,,,a.rad.msn.com
68.87.76.178,71.198.243.158,UDP,154,2007-01-13 20:31:50.178159,53,1427,,,a.rad.msn.com
71.198.243.158,68.87.76.178,UDP,73,2007-01-13 20:31:55.761648,1427,53,,,spe.atdmt.com
68.87.76.178,71.198.243.158,UDP,175,2007-01-13 20:31:55.777459,53,1427,,,spe.atdmt.com
71.198.243.158,68.87.76.178,UDP,72,2007-01-13 20:31:59.214661,1427,53,,,www.espn.com
68.87.76.178,71.198.243.158,UDP,88,2007-01-13 20:31:59.227515,53,1427,,,www.espn.com
71.198.243.158,68.87.76.178,UDP,78,2007-01-13 20:32:02.907889,1427,53,,,adsatt.espn.go.com
68.87.76.178,71.198.243.158,UDP,139,2007-01-13 20:32:02.919763,53,1427,,,adsatt.espn.go.com
71.198.243.158,68.87.76.178,UDP,80,2007-01-13 20:32:02.967553,1427,53,,,espn-ak.starwave.com
68.87.76.178,71.198.243.158,UDP,179,2007-01-13 20:32:02.977860,53,1427,,,espn-ak.starwave.com
71.198.243.158,68.87.76.178,UDP,70,2007-01-13 20:32:03.740378,1427,53,,,log.go.com
68.87.76.178,71.198.243.158,UDP,86,2007-01-13 20:32:03.759740,53,1427,,,log.go.com
71.198.243.158,68.87.76.178,UDP,78,2007-01-13 20:32:04.355196,1427,53,,,static.espn.go.com
68.87.76.178,71.198.243.158,UDP,108,2007-01-13 20:32:04.368323,53,1427,,,static.espn.go.com
71.198.243.158,68.87.76.178,UDP,75,2007-01-13 20:32:04.382160,1427,53,,,rsi.espn.go.com
68.87.76.178,71.198.243.158,UDP,168,2007-01-13 20:32:04.393615,53,1427,,,rsi.espn.go.com
71.198.243.158,68.87.76.178,UDP,78,2007-01-13 20:32:06.692019,1427,53,,,ehg-dig.hitbox.com
68.87.76.178,71.198.243.158,UDP,94,2007-01-13 20:32:06.712468,53,1427,,,ehg-dig.hitbox.com
71.198.243.158,68.87.76.178,UDP,80,2007-01-13 20:32:10.743994,1427,53,,,www.packet-level.com
68.87.76.178,71.198.243.158,UDP,96,2007-01-13 20:32:10.754333,53,1427,,,www.packet-level.com
71.198.243.158,68.87.76.178,UDP,80,2007-01-13 20:32:20.178783,1427,53,,,www.packet-level.net
68.87.76.178,71.198.243.158,UDP,96,2007-01-13 20:32:20.191103,53,1427,,,www.packet-level.net
67.170.215.94,68.87.76.178,UDP,86,2007-01-13 20:33:12.514899,1046,53,,,download.windowsupdate.com
67.170.215.94,68.87.78.130,UDP,86,2007-01-13 20:33:13.514691,1046,53,,,download.windowsupdate.com
68.87.78.130,67.170.215.94,UDP,155,2007-01-13 20:33:13.556262,53,1046,,,download.windowsupdate.com
67.170.215.94,68.87.78.130,UDP,80,2007-01-13 20:33:15.953161,1046,53,,,update.microsoft.com
68.87.78.130,67.170.215.94,UDP,172,2007-01-13 20:33:15.994410,53,1046,,,update.microsoft.com
