src,dst,proto,length,timestamp,src_port,dst_port,conn_state,duration,DNS
71.198.243.158,68.87.76.178,UDP,71,2007-01-13 20:45:59.926209,1427,53,,,www.cnn.com
68.87.76.178,71.198.243.158,UDP,213,2007-01-13 20:45:59.935871,53,1427,,,www.cnn.com
71.198.243.158,68.87.76.178,UDP,71,2007-01-13 20:46:00.810274,1427,53,,,i.a.cnn.net
68.87.76.178,71.198.243.158,UDP,271,2007-01-13 20:46:00.821513,53,1427,,,i.a.cnn.net
71.198.243.158,68.87.76.178,UDP,69,2007-01-13 20:46:04.101272,1427,53,,,i.cnn.net
68.87.76.178,71.198.243.158,UDP,197,2007-01-13 20:46:04.112346,53,1427,,,i.cnn.net
71.198.243.158,68.87.76.178,UDP,73,2007-01-13 20:46:04.462709,1427,53,,,ar.atwola.com
68.87.76.178,71.198.243.158,UDP,291,2007-01-13 20:46:04.474596,53,1427,,,ar.atwola.com
71.198.243.158,68.87.76.178,UDP,71,2007-01-13 20:46:05.438655,1427,53,,,ads.cnn.com
68.87.76.178,71.198.243.158,UDP,135,2007-01-13 20:46:05.453773,53,1427,,,ads.cnn.com
71.198.243.158,68.87.76.178,UDP,70,2007-01-13 20:46:06.159809,1427,53,,,cl.cnn.com
68.87.76.178,71.198.243.158,UDP,134,2007-01-13 20:46:06.171338,53,1427,,,cl.cnn.com
71.198.243.158,68.87.76.178,UDP,90,2007-01-13 20:46:06.383306,1427,53,,,bannerfarm.ace.advertising.com
68.87.76.178,71.198.243.158,UDP,209,2007-01-13 20:46:06.394604,53,1427,,,bannerfarm.ace.advertising.com
71.198.243.158,68.87.76.178,UDP,75,2007-01-13 20:46:06.407357,1427,53,,,cnn.dyn.cnn.com
68.87.76.178,71.198.243.158,UDP,139,2007-01-13 20:46:06.428265,53,1427,,,cnn.dyn.cnn.com
71.198.243.158,68.87.76.178,UDP,84,2007-01-13 20:46:06.763437,1427,53,,,leadback.advertising.com
68.87.76.178,71.198.243.158,UDP,142,2007-01-13 20:46:06.774252,53,1427,,,leadback.advertising.com
71.198.243.158,68.87.76.178,UDP,84,2007-01-13 20:46:06.894531,1427,53,,,servedby.advertising.com
68.87.76.178,71.198.243.158,UDP,196,2007-01-13 20:46:06.913108,53,1427,,,servedby.advertising.com
71.198.243.158,68.87.76.178,UDP,74,2007-01-13 20:46:07.588981,1427,53,,,cdn2.adsdk.com
