src,dst,proto,length,timestamp,src_port,dst_port,conn_state,DNS,connection_duration
10.0.0.66,10.0.0.1,ICMP,42,1135111323.496275,,,,,
10.0.0.66,10.0.0.1,TCP,54,1135111323.496284,42564.0,80.0,ACK,,0.0
10.0.0.1,10.0.0.66,ICMP,60,1135111323.496715,,,,,
10.0.0.1,10.0.0.66,TCP,60,1135111323.496789,80.0,42564.0,RST,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.601224,42542.0,113.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.601362,42542.0,53.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.601464,42542.0,22.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.601564,42542.0,443.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.601664,42542.0,3389.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.601765,42542.0,389.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.601865,42542.0,636.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.601938,113.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.602029,42542.0,80.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.602094,53.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.602118,22.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.60214,443.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.602173,3389.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.602197,389.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.602226,636.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.60225,80.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.602532,42542.0,554.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.602631,42542.0,25.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.602697,554.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.602873,25.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.603223,42542.0,1723.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.603326,42542.0,256.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.603426,42542.0,21.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.603503,1723.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.60353,256.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.603606,21.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.603706,42542.0,23.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.603807,42542.0,376.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.603912,23.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.60394,376.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.604031,42542.0,807.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.60414,42542.0,1391.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.604224,807.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.604252,1391.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.604364,42542.0,962.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.604464,42542.0,384.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.60453,962.0,42542.0,RST-ACK,,0.0
